,income,green_energy,green_energy_freq,cost,cost_freq,combination,combination_freq
0,3000 or less,1,29,1,28,60% Green energy & 20% lower than current,0.019642857142857142
1,3000 or less,1,29,1,28,60% Green energy & same as current,0.019642857142857142
2,3000 or less,1,29,1,28,60% Green energy & 20% higher than current,0.0125
3,3000 or less,1,29,1,28,80% Green energy & 20% lower than current,0.0125
4,3000 or less,1,29,1,28,80% Green energy & same as current,0.014285714285714285
5,3000 or less,1,29,1,28,80% Green energy & 20% higher than current,0.01607142857142857
6,3000 or less,1,29,1,28,100% Green energy & 20% lower than current,0.017857142857142856
7,3000 or less,1,29,1,28,100% Green energy & same as current,0.014285714285714285
8,3000 or less,1,29,1,28,100% Green energy & 20% higher than current,0.010714285714285714
9,3000 or less,1,29,2,27,60% Green energy & 20% lower than current,0.019642857142857142
10,3000 or less,1,29,2,27,60% Green energy & same as current,0.019642857142857142
11,3000 or less,1,29,2,27,60% Green energy & 20% higher than current,0.0125
12,3000 or less,1,29,2,27,80% Green energy & 20% lower than current,0.0125
13,3000 or less,1,29,2,27,80% Green energy & same as current,0.014285714285714285
14,3000 or less,1,29,2,27,80% Green energy & 20% higher than current,0.01607142857142857
15,3000 or less,1,29,2,27,100% Green energy & 20% lower than current,0.017857142857142856
16,3000 or less,1,29,2,27,100% Green energy & same as current,0.014285714285714285
17,3000 or less,1,29,2,27,100% Green energy & 20% higher than current,0.010714285714285714
18,3000 or less,1,29,3,22,60% Green energy & 20% lower than current,0.019642857142857142
19,3000 or less,1,29,3,22,60% Green energy & same as current,0.019642857142857142
20,3000 or less,1,29,3,22,60% Green energy & 20% higher than current,0.0125
21,3000 or less,1,29,3,22,80% Green energy & 20% lower than current,0.0125
22,3000 or less,1,29,3,22,80% Green energy & same as current,0.014285714285714285
23,3000 or less,1,29,3,22,80% Green energy & 20% higher than current,0.01607142857142857
24,3000 or less,1,29,3,22,100% Green energy & 20% lower than current,0.017857142857142856
25,3000 or less,1,29,3,22,100% Green energy & same as current,0.014285714285714285
26,3000 or less,1,29,3,22,100% Green energy & 20% higher than current,0.010714285714285714
27,3000 or less,2,24,1,28,60% Green energy & 20% lower than current,0.019642857142857142
28,3000 or less,2,24,1,28,60% Green energy & same as current,0.019642857142857142
29,3000 or less,2,24,1,28,60% Green energy & 20% higher than current,0.0125
30,3000 or less,2,24,1,28,80% Green energy & 20% lower than current,0.0125
31,3000 or less,2,24,1,28,80% Green energy & same as current,0.014285714285714285
32,3000 or less,2,24,1,28,80% Green energy & 20% higher than current,0.01607142857142857
33,3000 or less,2,24,1,28,100% Green energy & 20% lower than current,0.017857142857142856
34,3000 or less,2,24,1,28,100% Green energy & same as current,0.014285714285714285
35,3000 or less,2,24,1,28,100% Green energy & 20% higher than current,0.010714285714285714
36,3000 or less,2,24,2,27,60% Green energy & 20% lower than current,0.019642857142857142
37,3000 or less,2,24,2,27,60% Green energy & same as current,0.019642857142857142
38,3000 or less,2,24,2,27,60% Green energy & 20% higher than current,0.0125
39,3000 or less,2,24,2,27,80% Green energy & 20% lower than current,0.0125
40,3000 or less,2,24,2,27,80% Green energy & same as current,0.014285714285714285
41,3000 or less,2,24,2,27,80% Green energy & 20% higher than current,0.01607142857142857
42,3000 or less,2,24,2,27,100% Green energy & 20% lower than current,0.017857142857142856
43,3000 or less,2,24,2,27,100% Green energy & same as current,0.014285714285714285
44,3000 or less,2,24,2,27,100% Green energy & 20% higher than current,0.010714285714285714
45,3000 or less,2,24,3,22,60% Green energy & 20% lower than current,0.019642857142857142
46,3000 or less,2,24,3,22,60% Green energy & same as current,0.019642857142857142
47,3000 or less,2,24,3,22,60% Green energy & 20% higher than current,0.0125
48,3000 or less,2,24,3,22,80% Green energy & 20% lower than current,0.0125
49,3000 or less,2,24,3,22,80% Green energy & same as current,0.014285714285714285
50,3000 or less,2,24,3,22,80% Green energy & 20% higher than current,0.01607142857142857
51,3000 or less,2,24,3,22,100% Green energy & 20% lower than current,0.017857142857142856
52,3000 or less,2,24,3,22,100% Green energy & same as current,0.014285714285714285
53,3000 or less,2,24,3,22,100% Green energy & 20% higher than current,0.010714285714285714
54,3000 or less,3,24,1,28,60% Green energy & 20% lower than current,0.019642857142857142
55,3000 or less,3,24,1,28,60% Green energy & same as current,0.019642857142857142
56,3000 or less,3,24,1,28,60% Green energy & 20% higher than current,0.0125
57,3000 or less,3,24,1,28,80% Green energy & 20% lower than current,0.0125
58,3000 or less,3,24,1,28,80% Green energy & same as current,0.014285714285714285
59,3000 or less,3,24,1,28,80% Green energy & 20% higher than current,0.01607142857142857
60,3000 or less,3,24,1,28,100% Green energy & 20% lower than current,0.017857142857142856
61,3000 or less,3,24,1,28,100% Green energy & same as current,0.014285714285714285
62,3000 or less,3,24,1,28,100% Green energy & 20% higher than current,0.010714285714285714
63,3000 or less,3,24,2,27,60% Green energy & 20% lower than current,0.019642857142857142
64,3000 or less,3,24,2,27,60% Green energy & same as current,0.019642857142857142
65,3000 or less,3,24,2,27,60% Green energy & 20% higher than current,0.0125
66,3000 or less,3,24,2,27,80% Green energy & 20% lower than current,0.0125
67,3000 or less,3,24,2,27,80% Green energy & same as current,0.014285714285714285
68,3000 or less,3,24,2,27,80% Green energy & 20% higher than current,0.01607142857142857
69,3000 or less,3,24,2,27,100% Green energy & 20% lower than current,0.017857142857142856
70,3000 or less,3,24,2,27,100% Green energy & same as current,0.014285714285714285
71,3000 or less,3,24,2,27,100% Green energy & 20% higher than current,0.010714285714285714
72,3000 or less,3,24,3,22,60% Green energy & 20% lower than current,0.019642857142857142
73,3000 or less,3,24,3,22,60% Green energy & same as current,0.019642857142857142
74,3000 or less,3,24,3,22,60% Green energy & 20% higher than current,0.0125
75,3000 or less,3,24,3,22,80% Green energy & 20% lower than current,0.0125
76,3000 or less,3,24,3,22,80% Green energy & same as current,0.014285714285714285
77,3000 or less,3,24,3,22,80% Green energy & 20% higher than current,0.01607142857142857
78,3000 or less,3,24,3,22,100% Green energy & 20% lower than current,0.017857142857142856
79,3000 or less,3,24,3,22,100% Green energy & same as current,0.014285714285714285
80,3000 or less,3,24,3,22,100% Green energy & 20% higher than current,0.010714285714285714
81,3000 or less,1,101,1,94,60% Green energy & 20% lower than current,0.05357142857142857
82,3000 or less,1,101,1,94,60% Green energy & same as current,0.07142857142857142
83,3000 or less,1,101,1,94,60% Green energy & 20% higher than current,0.055357142857142855
84,3000 or less,1,101,1,94,80% Green energy & 20% lower than current,0.06607142857142857
85,3000 or less,1,101,1,94,80% Green energy & same as current,0.05892857142857143
86,3000 or less,1,101,1,94,80% Green energy & 20% higher than current,0.05
87,3000 or less,1,101,1,94,100% Green energy & 20% lower than current,0.048214285714285716
88,3000 or less,1,101,1,94,100% Green energy & same as current,0.044642857142857144
89,3000 or less,1,101,1,94,100% Green energy & 20% higher than current,0.05357142857142857
90,3000 or less,1,101,2,98,60% Green energy & 20% lower than current,0.05357142857142857
91,3000 or less,1,101,2,98,60% Green energy & same as current,0.07142857142857142
92,3000 or less,1,101,2,98,60% Green energy & 20% higher than current,0.055357142857142855
93,3000 or less,1,101,2,98,80% Green energy & 20% lower than current,0.06607142857142857
94,3000 or less,1,101,2,98,80% Green energy & same as current,0.05892857142857143
95,3000 or less,1,101,2,98,80% Green energy & 20% higher than current,0.05
96,3000 or less,1,101,2,98,100% Green energy & 20% lower than current,0.048214285714285716
97,3000 or less,1,101,2,98,100% Green energy & same as current,0.044642857142857144
98,3000 or less,1,101,2,98,100% Green energy & 20% higher than current,0.05357142857142857
99,3000 or less,1,101,3,89,60% Green energy & 20% lower than current,0.05357142857142857
100,3000 or less,1,101,3,89,60% Green energy & same as current,0.07142857142857142
101,3000 or less,1,101,3,89,60% Green energy & 20% higher than current,0.055357142857142855
102,3000 or less,1,101,3,89,80% Green energy & 20% lower than current,0.06607142857142857
103,3000 or less,1,101,3,89,80% Green energy & same as current,0.05892857142857143
104,3000 or less,1,101,3,89,80% Green energy & 20% higher than current,0.05
105,3000 or less,1,101,3,89,100% Green energy & 20% lower than current,0.048214285714285716
106,3000 or less,1,101,3,89,100% Green energy & same as current,0.044642857142857144
107,3000 or less,1,101,3,89,100% Green energy & 20% higher than current,0.05357142857142857
108,3000 or less,2,98,1,94,60% Green energy & 20% lower than current,0.05357142857142857
109,3000 or less,2,98,1,94,60% Green energy & same as current,0.07142857142857142
110,3000 or less,2,98,1,94,60% Green energy & 20% higher than current,0.055357142857142855
111,3000 or less,2,98,1,94,80% Green energy & 20% lower than current,0.06607142857142857
112,3000 or less,2,98,1,94,80% Green energy & same as current,0.05892857142857143
113,3000 or less,2,98,1,94,80% Green energy & 20% higher than current,0.05
114,3000 or less,2,98,1,94,100% Green energy & 20% lower than current,0.048214285714285716
115,3000 or less,2,98,1,94,100% Green energy & same as current,0.044642857142857144
116,3000 or less,2,98,1,94,100% Green energy & 20% higher than current,0.05357142857142857
117,3000 or less,2,98,2,98,60% Green energy & 20% lower than current,0.05357142857142857
118,3000 or less,2,98,2,98,60% Green energy & same as current,0.07142857142857142
119,3000 or less,2,98,2,98,60% Green energy & 20% higher than current,0.055357142857142855
120,3000 or less,2,98,2,98,80% Green energy & 20% lower than current,0.06607142857142857
121,3000 or less,2,98,2,98,80% Green energy & same as current,0.05892857142857143
122,3000 or less,2,98,2,98,80% Green energy & 20% higher than current,0.05
123,3000 or less,2,98,2,98,100% Green energy & 20% lower than current,0.048214285714285716
124,3000 or less,2,98,2,98,100% Green energy & same as current,0.044642857142857144
125,3000 or less,2,98,2,98,100% Green energy & 20% higher than current,0.05357142857142857
126,3000 or less,2,98,3,89,60% Green energy & 20% lower than current,0.05357142857142857
127,3000 or less,2,98,3,89,60% Green energy & same as current,0.07142857142857142
128,3000 or less,2,98,3,89,60% Green energy & 20% higher than current,0.055357142857142855
129,3000 or less,2,98,3,89,80% Green energy & 20% lower than current,0.06607142857142857
130,3000 or less,2,98,3,89,80% Green energy & same as current,0.05892857142857143
131,3000 or less,2,98,3,89,80% Green energy & 20% higher than current,0.05
132,3000 or less,2,98,3,89,100% Green energy & 20% lower than current,0.048214285714285716
133,3000 or less,2,98,3,89,100% Green energy & same as current,0.044642857142857144
134,3000 or less,2,98,3,89,100% Green energy & 20% higher than current,0.05357142857142857
135,3000 or less,3,82,1,94,60% Green energy & 20% lower than current,0.05357142857142857
136,3000 or less,3,82,1,94,60% Green energy & same as current,0.07142857142857142
137,3000 or less,3,82,1,94,60% Green energy & 20% higher than current,0.055357142857142855
138,3000 or less,3,82,1,94,80% Green energy & 20% lower than current,0.06607142857142857
139,3000 or less,3,82,1,94,80% Green energy & same as current,0.05892857142857143
140,3000 or less,3,82,1,94,80% Green energy & 20% higher than current,0.05
141,3000 or less,3,82,1,94,100% Green energy & 20% lower than current,0.048214285714285716
142,3000 or less,3,82,1,94,100% Green energy & same as current,0.044642857142857144
143,3000 or less,3,82,1,94,100% Green energy & 20% higher than current,0.05357142857142857
144,3000 or less,3,82,2,98,60% Green energy & 20% lower than current,0.05357142857142857
145,3000 or less,3,82,2,98,60% Green energy & same as current,0.07142857142857142
146,3000 or less,3,82,2,98,60% Green energy & 20% higher than current,0.055357142857142855
147,3000 or less,3,82,2,98,80% Green energy & 20% lower than current,0.06607142857142857
148,3000 or less,3,82,2,98,80% Green energy & same as current,0.05892857142857143
149,3000 or less,3,82,2,98,80% Green energy & 20% higher than current,0.05
150,3000 or less,3,82,2,98,100% Green energy & 20% lower than current,0.048214285714285716
151,3000 or less,3,82,2,98,100% Green energy & same as current,0.044642857142857144
152,3000 or less,3,82,2,98,100% Green energy & 20% higher than current,0.05357142857142857
153,3000 or less,3,82,3,89,60% Green energy & 20% lower than current,0.05357142857142857
154,3000 or less,3,82,3,89,60% Green energy & same as current,0.07142857142857142
155,3000 or less,3,82,3,89,60% Green energy & 20% higher than current,0.055357142857142855
156,3000 or less,3,82,3,89,80% Green energy & 20% lower than current,0.06607142857142857
157,3000 or less,3,82,3,89,80% Green energy & same as current,0.05892857142857143
158,3000 or less,3,82,3,89,80% Green energy & 20% higher than current,0.05
159,3000 or less,3,82,3,89,100% Green energy & 20% lower than current,0.048214285714285716
160,3000 or less,3,82,3,89,100% Green energy & same as current,0.044642857142857144
161,3000 or less,3,82,3,89,100% Green energy & 20% higher than current,0.05357142857142857
162,3000 or less,1,12,1,8,60% Green energy & 20% lower than current,0.007142857142857143
163,3000 or less,1,12,1,8,60% Green energy & same as current,0.007142857142857143
164,3000 or less,1,12,1,8,60% Green energy & 20% higher than current,0.007142857142857143
165,3000 or less,1,12,1,8,80% Green energy & 20% lower than current,0.0035714285714285713
166,3000 or less,1,12,1,8,80% Green energy & same as current,0.008928571428571428
167,3000 or less,1,12,1,8,80% Green energy & 20% higher than current,0.005357142857142857
168,3000 or less,1,12,1,8,100% Green energy & 20% lower than current,0.0035714285714285713
169,3000 or less,1,12,1,8,100% Green energy & same as current,0.005357142857142857
170,3000 or less,1,12,1,8,100% Green energy & 20% higher than current,0.005357142857142857
171,3000 or less,1,12,2,12,60% Green energy & 20% lower than current,0.007142857142857143
172,3000 or less,1,12,2,12,60% Green energy & same as current,0.007142857142857143
173,3000 or less,1,12,2,12,60% Green energy & 20% higher than current,0.007142857142857143
174,3000 or less,1,12,2,12,80% Green energy & 20% lower than current,0.0035714285714285713
175,3000 or less,1,12,2,12,80% Green energy & same as current,0.008928571428571428
176,3000 or less,1,12,2,12,80% Green energy & 20% higher than current,0.005357142857142857
177,3000 or less,1,12,2,12,100% Green energy & 20% lower than current,0.0035714285714285713
178,3000 or less,1,12,2,12,100% Green energy & same as current,0.005357142857142857
179,3000 or less,1,12,2,12,100% Green energy & 20% higher than current,0.005357142857142857
180,3000 or less,1,12,3,10,60% Green energy & 20% lower than current,0.007142857142857143
181,3000 or less,1,12,3,10,60% Green energy & same as current,0.007142857142857143
182,3000 or less,1,12,3,10,60% Green energy & 20% higher than current,0.007142857142857143
183,3000 or less,1,12,3,10,80% Green energy & 20% lower than current,0.0035714285714285713
184,3000 or less,1,12,3,10,80% Green energy & same as current,0.008928571428571428
185,3000 or less,1,12,3,10,80% Green energy & 20% higher than current,0.005357142857142857
186,3000 or less,1,12,3,10,100% Green energy & 20% lower than current,0.0035714285714285713
187,3000 or less,1,12,3,10,100% Green energy & same as current,0.005357142857142857
188,3000 or less,1,12,3,10,100% Green energy & 20% higher than current,0.005357142857142857
189,3000 or less,2,10,1,8,60% Green energy & 20% lower than current,0.007142857142857143
190,3000 or less,2,10,1,8,60% Green energy & same as current,0.007142857142857143
191,3000 or less,2,10,1,8,60% Green energy & 20% higher than current,0.007142857142857143
192,3000 or less,2,10,1,8,80% Green energy & 20% lower than current,0.0035714285714285713
193,3000 or less,2,10,1,8,80% Green energy & same as current,0.008928571428571428
194,3000 or less,2,10,1,8,80% Green energy & 20% higher than current,0.005357142857142857
195,3000 or less,2,10,1,8,100% Green energy & 20% lower than current,0.0035714285714285713
196,3000 or less,2,10,1,8,100% Green energy & same as current,0.005357142857142857
197,3000 or less,2,10,1,8,100% Green energy & 20% higher than current,0.005357142857142857
198,3000 or less,2,10,2,12,60% Green energy & 20% lower than current,0.007142857142857143
199,3000 or less,2,10,2,12,60% Green energy & same as current,0.007142857142857143
200,3000 or less,2,10,2,12,60% Green energy & 20% higher than current,0.007142857142857143
201,3000 or less,2,10,2,12,80% Green energy & 20% lower than current,0.0035714285714285713
202,3000 or less,2,10,2,12,80% Green energy & same as current,0.008928571428571428
203,3000 or less,2,10,2,12,80% Green energy & 20% higher than current,0.005357142857142857
204,3000 or less,2,10,2,12,100% Green energy & 20% lower than current,0.0035714285714285713
205,3000 or less,2,10,2,12,100% Green energy & same as current,0.005357142857142857
206,3000 or less,2,10,2,12,100% Green energy & 20% higher than current,0.005357142857142857
207,3000 or less,2,10,3,10,60% Green energy & 20% lower than current,0.007142857142857143
208,3000 or less,2,10,3,10,60% Green energy & same as current,0.007142857142857143
209,3000 or less,2,10,3,10,60% Green energy & 20% higher than current,0.007142857142857143
210,3000 or less,2,10,3,10,80% Green energy & 20% lower than current,0.0035714285714285713
211,3000 or less,2,10,3,10,80% Green energy & same as current,0.008928571428571428
212,3000 or less,2,10,3,10,80% Green energy & 20% higher than current,0.005357142857142857
213,3000 or less,2,10,3,10,100% Green energy & 20% lower than current,0.0035714285714285713
214,3000 or less,2,10,3,10,100% Green energy & same as current,0.005357142857142857
215,3000 or less,2,10,3,10,100% Green energy & 20% higher than current,0.005357142857142857
216,3000 or less,3,8,1,8,60% Green energy & 20% lower than current,0.007142857142857143
217,3000 or less,3,8,1,8,60% Green energy & same as current,0.007142857142857143
218,3000 or less,3,8,1,8,60% Green energy & 20% higher than current,0.007142857142857143
219,3000 or less,3,8,1,8,80% Green energy & 20% lower than current,0.0035714285714285713
220,3000 or less,3,8,1,8,80% Green energy & same as current,0.008928571428571428
221,3000 or less,3,8,1,8,80% Green energy & 20% higher than current,0.005357142857142857
222,3000 or less,3,8,1,8,100% Green energy & 20% lower than current,0.0035714285714285713
223,3000 or less,3,8,1,8,100% Green energy & same as current,0.005357142857142857
224,3000 or less,3,8,1,8,100% Green energy & 20% higher than current,0.005357142857142857
225,3000 or less,3,8,2,12,60% Green energy & 20% lower than current,0.007142857142857143
226,3000 or less,3,8,2,12,60% Green energy & same as current,0.007142857142857143
227,3000 or less,3,8,2,12,60% Green energy & 20% higher than current,0.007142857142857143
228,3000 or less,3,8,2,12,80% Green energy & 20% lower than current,0.0035714285714285713
229,3000 or less,3,8,2,12,80% Green energy & same as current,0.008928571428571428
230,3000 or less,3,8,2,12,80% Green energy & 20% higher than current,0.005357142857142857
231,3000 or less,3,8,2,12,100% Green energy & 20% lower than current,0.0035714285714285713
232,3000 or less,3,8,2,12,100% Green energy & same as current,0.005357142857142857
233,3000 or less,3,8,2,12,100% Green energy & 20% higher than current,0.005357142857142857
234,3000 or less,3,8,3,10,60% Green energy & 20% lower than current,0.007142857142857143
235,3000 or less,3,8,3,10,60% Green energy & same as current,0.007142857142857143
236,3000 or less,3,8,3,10,60% Green energy & 20% higher than current,0.007142857142857143
237,3000 or less,3,8,3,10,80% Green energy & 20% lower than current,0.0035714285714285713
238,3000 or less,3,8,3,10,80% Green energy & same as current,0.008928571428571428
239,3000 or less,3,8,3,10,80% Green energy & 20% higher than current,0.005357142857142857
240,3000 or less,3,8,3,10,100% Green energy & 20% lower than current,0.0035714285714285713
241,3000 or less,3,8,3,10,100% Green energy & same as current,0.005357142857142857
242,3000 or less,3,8,3,10,100% Green energy & 20% higher than current,0.005357142857142857
243,3000 or less,1,29,1,27,60% Green energy & 20% lower than current,0.010714285714285714
244,3000 or less,1,29,1,27,60% Green energy & same as current,0.02857142857142857
245,3000 or less,1,29,1,27,60% Green energy & 20% higher than current,0.0125
246,3000 or less,1,29,1,27,80% Green energy & 20% lower than current,0.025
247,3000 or less,1,29,1,27,80% Green energy & same as current,0.01607142857142857
248,3000 or less,1,29,1,27,80% Green energy & 20% higher than current,0.010714285714285714
249,3000 or less,1,29,1,27,100% Green energy & 20% lower than current,0.0125
250,3000 or less,1,29,1,27,100% Green energy & same as current,0.008928571428571428
251,3000 or less,1,29,1,27,100% Green energy & 20% higher than current,0.017857142857142856
252,3000 or less,1,29,2,30,60% Green energy & 20% lower than current,0.010714285714285714
253,3000 or less,1,29,2,30,60% Green energy & same as current,0.02857142857142857
254,3000 or less,1,29,2,30,60% Green energy & 20% higher than current,0.0125
255,3000 or less,1,29,2,30,80% Green energy & 20% lower than current,0.025
256,3000 or less,1,29,2,30,80% Green energy & same as current,0.01607142857142857
257,3000 or less,1,29,2,30,80% Green energy & 20% higher than current,0.010714285714285714
258,3000 or less,1,29,2,30,100% Green energy & 20% lower than current,0.0125
259,3000 or less,1,29,2,30,100% Green energy & same as current,0.008928571428571428
260,3000 or less,1,29,2,30,100% Green energy & 20% higher than current,0.017857142857142856
261,3000 or less,1,29,3,23,60% Green energy & 20% lower than current,0.010714285714285714
262,3000 or less,1,29,3,23,60% Green energy & same as current,0.02857142857142857
263,3000 or less,1,29,3,23,60% Green energy & 20% higher than current,0.0125
264,3000 or less,1,29,3,23,80% Green energy & 20% lower than current,0.025
265,3000 or less,1,29,3,23,80% Green energy & same as current,0.01607142857142857
266,3000 or less,1,29,3,23,80% Green energy & 20% higher than current,0.010714285714285714
267,3000 or less,1,29,3,23,100% Green energy & 20% lower than current,0.0125
268,3000 or less,1,29,3,23,100% Green energy & same as current,0.008928571428571428
269,3000 or less,1,29,3,23,100% Green energy & 20% higher than current,0.017857142857142856
270,3000 or less,2,29,1,27,60% Green energy & 20% lower than current,0.010714285714285714
271,3000 or less,2,29,1,27,60% Green energy & same as current,0.02857142857142857
272,3000 or less,2,29,1,27,60% Green energy & 20% higher than current,0.0125
273,3000 or less,2,29,1,27,80% Green energy & 20% lower than current,0.025
274,3000 or less,2,29,1,27,80% Green energy & same as current,0.01607142857142857
275,3000 or less,2,29,1,27,80% Green energy & 20% higher than current,0.010714285714285714
276,3000 or less,2,29,1,27,100% Green energy & 20% lower than current,0.0125
277,3000 or less,2,29,1,27,100% Green energy & same as current,0.008928571428571428
278,3000 or less,2,29,1,27,100% Green energy & 20% higher than current,0.017857142857142856
279,3000 or less,2,29,2,30,60% Green energy & 20% lower than current,0.010714285714285714
280,3000 or less,2,29,2,30,60% Green energy & same as current,0.02857142857142857
281,3000 or less,2,29,2,30,60% Green energy & 20% higher than current,0.0125
282,3000 or less,2,29,2,30,80% Green energy & 20% lower than current,0.025
283,3000 or less,2,29,2,30,80% Green energy & same as current,0.01607142857142857
284,3000 or less,2,29,2,30,80% Green energy & 20% higher than current,0.010714285714285714
285,3000 or less,2,29,2,30,100% Green energy & 20% lower than current,0.0125
286,3000 or less,2,29,2,30,100% Green energy & same as current,0.008928571428571428
287,3000 or less,2,29,2,30,100% Green energy & 20% higher than current,0.017857142857142856
288,3000 or less,2,29,3,23,60% Green energy & 20% lower than current,0.010714285714285714
289,3000 or less,2,29,3,23,60% Green energy & same as current,0.02857142857142857
290,3000 or less,2,29,3,23,60% Green energy & 20% higher than current,0.0125
291,3000 or less,2,29,3,23,80% Green energy & 20% lower than current,0.025
292,3000 or less,2,29,3,23,80% Green energy & same as current,0.01607142857142857
293,3000 or less,2,29,3,23,80% Green energy & 20% higher than current,0.010714285714285714
294,3000 or less,2,29,3,23,100% Green energy & 20% lower than current,0.0125
295,3000 or less,2,29,3,23,100% Green energy & same as current,0.008928571428571428
296,3000 or less,2,29,3,23,100% Green energy & 20% higher than current,0.017857142857142856
297,3000 or less,3,22,1,27,60% Green energy & 20% lower than current,0.010714285714285714
298,3000 or less,3,22,1,27,60% Green energy & same as current,0.02857142857142857
299,3000 or less,3,22,1,27,60% Green energy & 20% higher than current,0.0125
300,3000 or less,3,22,1,27,80% Green energy & 20% lower than current,0.025
301,3000 or less,3,22,1,27,80% Green energy & same as current,0.01607142857142857
302,3000 or less,3,22,1,27,80% Green energy & 20% higher than current,0.010714285714285714
303,3000 or less,3,22,1,27,100% Green energy & 20% lower than current,0.0125
304,3000 or less,3,22,1,27,100% Green energy & same as current,0.008928571428571428
305,3000 or less,3,22,1,27,100% Green energy & 20% higher than current,0.017857142857142856
306,3000 or less,3,22,2,30,60% Green energy & 20% lower than current,0.010714285714285714
307,3000 or less,3,22,2,30,60% Green energy & same as current,0.02857142857142857
308,3000 or less,3,22,2,30,60% Green energy & 20% higher than current,0.0125
309,3000 or less,3,22,2,30,80% Green energy & 20% lower than current,0.025
310,3000 or less,3,22,2,30,80% Green energy & same as current,0.01607142857142857
311,3000 or less,3,22,2,30,80% Green energy & 20% higher than current,0.010714285714285714
312,3000 or less,3,22,2,30,100% Green energy & 20% lower than current,0.0125
313,3000 or less,3,22,2,30,100% Green energy & same as current,0.008928571428571428
314,3000 or less,3,22,2,30,100% Green energy & 20% higher than current,0.017857142857142856
315,3000 or less,3,22,3,23,60% Green energy & 20% lower than current,0.010714285714285714
316,3000 or less,3,22,3,23,60% Green energy & same as current,0.02857142857142857
317,3000 or less,3,22,3,23,60% Green energy & 20% higher than current,0.0125
318,3000 or less,3,22,3,23,80% Green energy & 20% lower than current,0.025
319,3000 or less,3,22,3,23,80% Green energy & same as current,0.01607142857142857
320,3000 or less,3,22,3,23,80% Green energy & 20% higher than current,0.010714285714285714
321,3000 or less,3,22,3,23,100% Green energy & 20% lower than current,0.0125
322,3000 or less,3,22,3,23,100% Green energy & same as current,0.008928571428571428
323,3000 or less,3,22,3,23,100% Green energy & 20% higher than current,0.017857142857142856
324,3000 or less,1,24,1,20,60% Green energy & 20% lower than current,0.008928571428571428
325,3000 or less,1,24,1,20,60% Green energy & same as current,0.019642857142857142
326,3000 or less,1,24,1,20,60% Green energy & 20% higher than current,0.014285714285714285
327,3000 or less,1,24,1,20,80% Green energy & 20% lower than current,0.014285714285714285
328,3000 or less,1,24,1,20,80% Green energy & same as current,0.02142857142857143
329,3000 or less,1,24,1,20,80% Green energy & 20% higher than current,0.010714285714285714
330,3000 or less,1,24,1,20,100% Green energy & 20% lower than current,0.0125
331,3000 or less,1,24,1,20,100% Green energy & same as current,0.008928571428571428
332,3000 or less,1,24,1,20,100% Green energy & 20% higher than current,0.017857142857142856
333,3000 or less,1,24,2,28,60% Green energy & 20% lower than current,0.008928571428571428
334,3000 or less,1,24,2,28,60% Green energy & same as current,0.019642857142857142
335,3000 or less,1,24,2,28,60% Green energy & 20% higher than current,0.014285714285714285
336,3000 or less,1,24,2,28,80% Green energy & 20% lower than current,0.014285714285714285
337,3000 or less,1,24,2,28,80% Green energy & same as current,0.02142857142857143
338,3000 or less,1,24,2,28,80% Green energy & 20% higher than current,0.010714285714285714
339,3000 or less,1,24,2,28,100% Green energy & 20% lower than current,0.0125
340,3000 or less,1,24,2,28,100% Green energy & same as current,0.008928571428571428
341,3000 or less,1,24,2,28,100% Green energy & 20% higher than current,0.017857142857142856
342,3000 or less,1,24,3,24,60% Green energy & 20% lower than current,0.008928571428571428
343,3000 or less,1,24,3,24,60% Green energy & same as current,0.019642857142857142
344,3000 or less,1,24,3,24,60% Green energy & 20% higher than current,0.014285714285714285
345,3000 or less,1,24,3,24,80% Green energy & 20% lower than current,0.014285714285714285
346,3000 or less,1,24,3,24,80% Green energy & same as current,0.02142857142857143
347,3000 or less,1,24,3,24,80% Green energy & 20% higher than current,0.010714285714285714
348,3000 or less,1,24,3,24,100% Green energy & 20% lower than current,0.0125
349,3000 or less,1,24,3,24,100% Green energy & same as current,0.008928571428571428
350,3000 or less,1,24,3,24,100% Green energy & 20% higher than current,0.017857142857142856
351,3000 or less,2,26,1,20,60% Green energy & 20% lower than current,0.008928571428571428
352,3000 or less,2,26,1,20,60% Green energy & same as current,0.019642857142857142
353,3000 or less,2,26,1,20,60% Green energy & 20% higher than current,0.014285714285714285
354,3000 or less,2,26,1,20,80% Green energy & 20% lower than current,0.014285714285714285
355,3000 or less,2,26,1,20,80% Green energy & same as current,0.02142857142857143
356,3000 or less,2,26,1,20,80% Green energy & 20% higher than current,0.010714285714285714
357,3000 or less,2,26,1,20,100% Green energy & 20% lower than current,0.0125
358,3000 or less,2,26,1,20,100% Green energy & same as current,0.008928571428571428
359,3000 or less,2,26,1,20,100% Green energy & 20% higher than current,0.017857142857142856
360,3000 or less,2,26,2,28,60% Green energy & 20% lower than current,0.008928571428571428
361,3000 or less,2,26,2,28,60% Green energy & same as current,0.019642857142857142
362,3000 or less,2,26,2,28,60% Green energy & 20% higher than current,0.014285714285714285
363,3000 or less,2,26,2,28,80% Green energy & 20% lower than current,0.014285714285714285
364,3000 or less,2,26,2,28,80% Green energy & same as current,0.02142857142857143
365,3000 or less,2,26,2,28,80% Green energy & 20% higher than current,0.010714285714285714
366,3000 or less,2,26,2,28,100% Green energy & 20% lower than current,0.0125
