,year,value,ISO2,energy_type
128,2000,74814.0,FR,Total Non-Renewable
129,2000,91086.349,FR,Total Renewable
130,2000,991.258,GA,Total Non-Renewable
131,2000,1343.368,GA,Total Renewable
132,2000,339257.0,GB,Total Non-Renewable
133,2000,12885.0,GB,Total Renewable
134,2000,180.46300000000002,GD,Total Non-Renewable
135,2000,0.0,GD,Total Renewable
136,2000,2099.3,GE,Total Non-Renewable
137,2000,8442.04,GE,Total Renewable
138,2000,158.644,GF,Total Non-Renewable
139,2000,525.574,GF,Total Renewable
140,2000,1194.0,GH,Total Non-Renewable
141,2000,7700.969,GH,Total Renewable
142,2000,229.38,GL,Total Non-Renewable
143,2000,220.391,GL,Total Renewable
144,2000,103.0,GM,Total Non-Renewable
145,2000,0.0,GM,Total Renewable
146,2000,610.0,GN,Total Non-Renewable
147,2000,639.22,GN,Total Renewable
148,2000,1419.698,GP,Total Non-Renewable
149,2000,137.595,GP,Total Renewable
150,2000,196.244,GQ,Total Non-Renewable
151,2000,12.6,GQ,Total Renewable
152,2000,56688.0,GR,Total Non-Renewable
153,2000,7443.0,GR,Total Renewable
154,2000,3317.0299999999997,GT,Total Non-Renewable
155,2000,4035.9189999999994,GT,Total Renewable
156,2000,2445.4579999999996,GU,Total Non-Renewable
157,2000,0.0,GU,Total Renewable
158,2000,46.07,GW,Total Non-Renewable
159,2000,0.0,GW,Total Renewable
160,2000,1189.537,GY,Total Non-Renewable
161,2000,63.623000000000005,GY,Total Renewable
162,2000,42896.0,HK,Total Non-Renewable
163,2000,0.0,HK,Total Renewable
164,2000,1987.3519999999999,HN,Total Non-Renewable
165,2000,2722.614,HN,Total Renewable
166,2000,6484.0,HR,Total Non-Renewable
167,2000,8523.9,HR,Total Renewable
168,2000,409.06399999999996,HT,Total Non-Renewable
169,2000,339.286,HT,Total Renewable
170,2000,27065.0,HU,Total Non-Renewable
171,2000,309.0,HU,Total Renewable
172,2000,110997.91,ID,Total Non-Renewable
173,2000,19252.222,ID,Total Renewable
174,2000,26537.0,IE,Total Non-Renewable
175,2000,1553.5,IE,Total Renewable
176,2000,51761.0,IL,Total Non-Renewable
177,2000,37.61,IL,Total Renewable
178,2000,556600.794,IN,Total Non-Renewable
179,2000,102620.167,IN,Total Renewable
180,2000,35979.0,IQ,Total Non-Renewable
181,2000,1281.0,IQ,Total Renewable
182,2000,147850.0,IR,Total Non-Renewable
183,2000,5696.542,IR,Total Renewable
184,2000,152.0,IS,Total Non-Renewable
185,2000,7420.0,IS,Total Renewable
186,2000,271111.0,IT,Total Non-Renewable
187,2000,63487.946,IT,Total Renewable
188,2000,3947.4519999999998,JM,Total Non-Renewable
189,2000,168.458,JM,Total Renewable
190,2000,8986.0,JO,Total Non-Renewable
191,2000,59.415,JO,Total Renewable
192,2000,782909.0,JP,Total Non-Renewable
193,2000,116860.0,JP,Total Renewable
194,2000,2017.0,KE,Total Non-Renewable
195,2000,2714.3909999999996,KE,Total Renewable
196,2000,3017.2,KG,Total Non-Renewable
197,2000,16625.4,KG,Total Renewable
198,2000,695.576,KH,Total Non-Renewable
199,2000,50.23,KH,Total Renewable
200,2000,17.4,KI,Total Non-Renewable
201,2000,0.16699999999999998,KI,Total Renewable
202,2000,47.7,KM,Total Non-Renewable
203,2000,0.0,KM,Total Renewable
204,2000,194.2,KN,Total Non-Renewable
205,2000,0.0,KN,Total Renewable
206,2000,12160.0,KP,Total Non-Renewable
207,2000,14792.0,KP,Total Renewable
208,2000,211184.0,KR,Total Non-Renewable
209,2000,5731.5,KR,Total Renewable
210,2000,41511.8,KW,Total Non-Renewable
211,2000,0.0,KW,Total Renewable
212,2000,610.514,KY,Total Non-Renewable
213,2000,0.0,KY,Total Renewable
214,2000,59857.0,KZ,Total Non-Renewable
215,2000,9791.0,KZ,Total Renewable
216,2000,0.0,LA,Total Non-Renewable
217,2000,4366.842,LA,Total Renewable
218,2000,9349.0,LB,Total Non-Renewable
219,2000,725.6,LB,Total Renewable
220,2000,343.1,LC,Total Non-Renewable
221,2000,0.0,LC,Total Renewable
222,2000,4268.86,LK,Total Non-Renewable
223,2000,4365.639,LK,Total Renewable
224,2000,270.0,LR,Total Non-Renewable
225,2000,29.739,LR,Total Renewable
226,2000,1.579,LS,Total Non-Renewable
227,2000,443.435,LS,Total Renewable
228,2000,4732.0,LT,Total Non-Renewable
229,2000,443.0,LT,Total Renewable
230,2000,276.70300000000003,LU,Total Non-Renewable
231,2000,223.598,LU,Total Renewable
232,2000,1890.0,LV,Total Non-Renewable
233,2000,4338.5740000000005,LV,Total Renewable
234,2000,19749.0,LY,Total Non-Renewable
235,2000,0.0,LY,Total Renewable
236,2000,13985.0,MA,Total Non-Renewable
237,2000,2009.956,MA,Total Renewable
238,2000,8719.0,MD,Total Non-Renewable
239,2000,441.0,MD,Total Renewable
240,2000,0.0,ME,Total Non-Renewable
241,2000,0.0,ME,Total Renewable
242,2000,362.198,MG,Total Non-Renewable
243,2000,647.502,MG,Total Renewable
244,2000,102.91999999999999,MH,Total Non-Renewable
245,2000,0.094,MH,Total Renewable
246,2000,6654.0,MK,Total Non-Renewable
247,2000,1613.0,MK,Total Renewable
248,2000,885.6171274,ML,Total Non-Renewable
249,2000,307.732,ML,Total Renewable
250,2000,3907.05,MM,Total Non-Renewable
251,2000,2401.4570000000003,MM,Total Renewable
252,2000,3710.8,MN,Total Non-Renewable
253,2000,18.979,MN,Total Renewable
254,2000,1518.0,MQ,Total Non-Renewable
255,2000,0.0,MQ,Total Renewable
256,2000,510.0,MR,Total Non-Renewable
257,2000,0.0,MR,Total Renewable
258,2000,22.0,MS,Total Non-Renewable
259,2000,0.0,MS,Total Renewable
260,2000,2488.0,MT,Total Non-Renewable
261,2000,0.0,MT,Total Renewable
262,2000,1719.791,MU,Total Non-Renewable
263,2000,637.258,MU,Total Renewable
264,2000,436.645,MV,Total Non-Renewable
265,2000,0.0,MV,Total Renewable
266,2000,116.31547839999999,MW,Total Non-Renewable
267,2000,1399.125,MW,Total Renewable
268,2000,184834.0,MX,Total Non-Renewable
269,2000,44844.0,MX,Total Renewable
270,2000,72503.5,MY,Total Non-Renewable
271,2000,10325.919,MY,Total Renewable
272,2000,66.88,MZ,Total Non-Renewable
273,2000,11073.376,MZ,Total Renewable
274,2000,1473.934,NC,Total Non-Renewable
275,2000,529.0029999999999,NC,Total Renewable
276,2000,388.6,NE,Total Non-Renewable
277,2000,1.3,NE,Total Renewable
278,2000,12599.0,NG,Total Non-Renewable
279,2000,8539.4,NG,Total Renewable
280,2000,2292.19,NI,Total Non-Renewable
281,2000,416.25,NI,Total Renewable
282,2000,100859.539,NL,Total Non-Renewable
283,2000,3758.471,NL,Total Renewable
284,2000,501.0,NO,Total Non-Renewable
285,2000,170303.34,NO,Total Renewable
286,2000,100.345,NP,Total Non-Renewable
287,2000,1780.423,NP,Total Renewable
288,2000,55.400000000000006,NR,Total Non-Renewable
289,2000,0.0,NR,Total Renewable
290,2000,5.304,NU,Total Non-Renewable
291,2000,0.0,NU,Total Renewable
292,2000,13717.0,NZ,Total Non-Renewable
293,2000,30720.0,NZ,Total Renewable
294,2000,11416.0,OM,Total Non-Renewable
295,2000,0.0,OM,Total Renewable
296,2000,2205.49,PA,Total Non-Renewable
297,2000,4307.865000000001,PA,Total Renewable
298,2000,6799.888,PE,Total Non-Renewable
299,2000,19200.676,PE,Total Renewable
300,2000,530.865,PF,Total Non-Renewable
301,2000,196.427,PF,Total Renewable
302,2000,1699.85,PG,Total Non-Renewable
303,2000,1206.039,PG,Total Renewable
304,2000,32789.028,PH,Total Non-Renewable
305,2000,9292.55,PH,Total Renewable
306,2000,60193.0,PK,Total Non-Renewable
307,2000,24609.879,PK,Total Renewable
308,2000,179018.0,PL,Total Non-Renewable
309,2000,3169.0,PL,Total Renewable
310,2000,65.2,PM,Total Non-Renewable
311,2000,1.2,PM,Total Renewable
312,2000,25979.999,PR,Total Non-Renewable
313,2000,217.601,PR,Total Renewable
314,2000,54.333,PS,Total Non-Renewable
315,2000,0.0,PS,Total Renewable
316,2000,36238.0,PT,Total Non-Renewable
317,2000,17659.0,PT,Total Renewable
318,2000,126.661,PW,Total Non-Renewable
319,2000,0.009000000000000001,PW,Total Renewable
320,2000,0.82,PY,Total Non-Renewable
321,2000,61581.4,PY,Total Renewable
322,2000,11382.0,QA,Total Non-Renewable
323,2000,0.0,QA,Total Renewable
324,2000,1209.4,RE,Total Non-Renewable
325,2000,964.6,RE,Total Renewable
326,2000,41075.0,RO,Total Non-Renewable
327,2000,21149.0,RO,Total Renewable
328,2000,30883.0,RS,Total Non-Renewable
329,2000,12094.001,RS,Total Renewable
330,2000,766619.345,RU,Total Non-Renewable
331,2000,209593.342,RU,Total Renewable
332,2000,2.64,RW,Total Non-Renewable
333,2000,147.167,RW,Total Renewable
334,2000,151981.0,SA,Total Non-Renewable
335,2000,1.35,SA,Total Renewable
336,2000,103.949,SB,Total Non-Renewable
337,2000,1.128,SB,Total Renewable
338,2000,275.971,SC,Total Non-Renewable
339,2000,0.0,SC,Total Renewable
340,2000,1540.0,SD,Total Non-Renewable
341,2000,1671.636,SD,Total Renewable
342,2000,10475.0,SE,Total Non-Renewable
343,2000,101403.418,SE,Total Renewable
344,2000,38069.47,SG,Total Non-Renewable
345,2000,630.55,SG,Total Renewable
346,2000,6057.0,SI,Total Non-Renewable
347,2000,4764.721,SI,Total Renewable
